Vanaf;Tot;Werkelijk;Doelstelling;Prestatie;  ;Graaddagen;Per graaddag;
2019-04-21 00:00;2019-04-22 00:00;1,33800;1,52352;-12;;0,72;1,8583;
2019-04-22 00:00;2019-04-23 00:00;1,62600;1,04918;55;;0,00;0,0000;
2019-04-23 00:00;2019-04-24 00:00;1,25300;1,20730;4;;0,24;5,2208;
2019-04-24 00:00;2019-04-25 00:00;1,19800;1,04918;14;;0,00;0,0000;
2019-04-25 00:00;2019-04-26 00:00;1,38200;3,05195;-55;;3,04;0,4546;
2019-04-26 00:00;2019-04-27 00:00;1,30300;2,78843;-53;;2,64;0,4936;
2019-04-27 00:00;2019-04-28 00:00;1,22700;4,31686;-72;;4,96;0,2474;
2019-04-28 00:00;2019-04-29 00:00;1,50000;4,63308;-68;;5,44;0,2757;
2019-04-29 00:00;2019-04-30 00:00;1,31000;4,00063;-67;;4,48;0,2924;
2019-04-30 00:00;2019-05-01 00:00;2,20900;3,89522;-43;;4,32;0,5113;
2019-05-01 00:00;2019-05-02 00:00;3,55500;4,68579;-24;;5,52;0,6440;
2019-05-02 00:00;2019-05-03 00:00;3,03800;4,58038;-34;;5,36;0,5668;
2019-05-03 00:00;2019-05-04 00:00;3,28900;5,26554;-38;;6,40;0,5139;
2019-05-04 00:00;2019-05-05 00:00;3,63400;6,05610;-40;;7,60;0,4782;
2019-05-05 00:00;2019-05-06 00:00;4,51200;5,95069;-24;;7,44;0,6065;
2019-05-06 00:00;2019-05-07 00:00;4,58500;6,00340;-24;;7,52;0,6097;
2019-05-07 00:00;2019-05-08 00:00;4,06000;5,21283;-22;;6,32;0,6424;
2019-05-08 00:00;2019-05-09 00:00;4,04100;4,10604;-2;;4,64;0,8709;
2019-05-09 00:00;2019-05-10 00:00;2,75700;2,94654;-6;;2,88;0,9573;
2019-05-10 00:00;2019-05-11 00:00;2,30500;3,94793;-42;;4,40;0,5239;
2019-05-11 00:00;2019-05-12 00:00;2,90100;4,42227;-34;;5,12;0,5666;
2019-05-12 00:00;2019-05-13 00:00;2,79100;4,47497;-38;;5,20;0,5367;
2019-05-13 00:00;2019-05-14 00:00;2,74200;4,52767;-39;;5,28;0,5193;
2019-05-14 00:00;2019-05-15 00:00;2,26700;3,78981;-40;;4,16;0,5450;
2019-05-15 00:00;2019-05-16 00:00;2,11600;3,10466;-32;;3,12;0,6782;
2019-05-16 00:00;2019-05-17 00:00;1,96200;3,26277;-40;;3,36;0,5839;
2019-05-17 00:00;2019-05-18 00:00;2,28200;3,15736;-28;;3,20;0,7131;
2019-05-18 00:00;2019-05-19 00:00;2,04600;1,31271;56;;0,40;5,1150;
2019-05-19 00:00;2019-05-20 00:00;1,56300;1,52352;3;;0,72;2,1708;
2019-05-20 00:00;2019-05-21 00:00;1,91900;2,47220;-22;;2,16;0,8884;
2019-05-21 00:00;2019-05-22 00:00;2,50700;3,26277;-23;;3,36;0,7461;
2019-05-22 00:00;2019-05-23 00:00;2,40100;2,47220;-3;;2,16;1,1116;
2019-05-23 00:00;2019-05-24 00:00;1,56800;1,57623;-1;;0,80;1,9600;
2019-05-24 00:00;2019-05-25 00:00;1,16700;1,57623;-26;;0,80;1,4587;
2019-05-25 00:00;2019-05-26 00:00;1,44900;2,41950;-40;;2,08;0,6966;
2019-05-26 00:00;2019-05-27 00:00;1,32200;1,10189;20;;0,08;16,5250;
2019-05-27 00:00;2019-05-28 00:00;1,39500;1,94516;-28;;1,36;1,0257;
2019-05-28 00:00;2019-05-29 00:00;1,76000;3,63170;-52;;3,92;0,4490;
2019-05-29 00:00;2019-05-30 00:00;1,58100;2,63032;-40;;2,40;0,6588;
2019-05-30 00:00;2019-05-31 00:00;1,48500;1,04918;42;;0,00;0,0000;
2019-05-31 00:00;2019-06-01 00:00;1,24600;1,04918;19;;0,00;0,0000;
2019-06-01 00:00;2019-06-02 00:00;1,00200;1,04918;-4;;0,00;0,0000;
2019-06-02 00:00;2019-06-03 00:00;1,48300;1,04918;41;;0,00;0,0000;
2019-06-03 00:00;2019-06-04 00:00;1,10500;1,04918;5;;0,00;0,0000;
2019-06-04 00:00;2019-06-05 00:00;1,25600;1,04918;20;;0,00;0,0000;
2019-06-05 00:00;2019-06-06 00:00;1,13400;1,04918;8;;0,00;0,0000;
2019-06-06 00:00;2019-06-07 00:00;1,11200;1,73434;-36;;1,04;1,0692;
2019-06-07 00:00;2019-06-08 00:00;1,13600;1,31271;-13;;0,40;2,8400;
2019-06-08 00:00;2019-06-09 00:00;1,82800;1,89245;-3;;1,28;1,4281;
2019-06-09 00:00;2019-06-10 00:00;1,40300;1,41811;-1;;0,56;2,5054;
2019-06-10 00:00;2019-06-11 00:00;1,50400;1,04918;43;;0,00;0,0000;
2019-06-11 00:00;2019-06-12 00:00;0,97700;1,26000;-22;;0,32;3,0531;
2019-06-12 00:00;2019-06-13 00:00;1,23600;2,10327;-41;;1,60;0,7725;
2019-06-13 00:00;2019-06-14 00:00;1,45500;1,99786;-27;;1,44;1,0104;
2019-06-14 00:00;2019-06-15 00:00;1,09100;1,04918;4;;0,00;0,0000;
2019-06-15 00:00;2019-06-16 00:00;1,38600;1,15459;20;;0,16;8,6625;
2019-06-16 00:00;2019-06-17 00:00;1,31100;1,04918;25;;0,00;0,0000;
2019-06-17 00:00;2019-06-18 00:00;1,13600;1,04918;8;;0,00;0,0000;
2019-06-18 00:00;2019-06-19 00:00;0,83200;1,04918;-21;;0,00;0,0000;
2019-06-19 00:00;2019-06-20 00:00;1,09000;1,04918;4;;0,00;0,0000;
2019-06-20 00:00;2019-06-21 00:00;0,81100;1,04918;-23;;0,00;0,0000;
2019-06-21 00:00;2019-06-22 00:00;1,07600;1,36541;-21;;0,48;2,2417;
2019-06-22 00:00;2019-06-23 00:00;0,85800;1,04918;-18;;0,00;0,0000;
2019-06-23 00:00;2019-06-24 00:00;1,06000;1,04918;1;;0,00;0,0000;
2019-06-24 00:00;2019-06-25 00:00;0,97600;1,04918;-7;;0,00;0,0000;
2019-06-25 00:00;2019-06-26 00:00;0,47700;1,04918;-55;;0,00;0,0000;
2019-06-26 00:00;2019-06-27 00:00;0,91500;1,04918;-13;;0,00;0,0000;
2019-06-27 00:00;2019-06-28 00:00;0,83100;1,04918;-21;;0,00;0,0000;
2019-06-28 00:00;2019-06-29 00:00;0,96500;1,04918;-8;;0,00;0,0000;
2019-06-29 00:00;2019-06-30 00:00;0,83600;1,04918;-20;;0,00;0,0000;
2019-06-30 00:00;2019-07-01 00:00;1,08100;1,04918;3;;0,00;0,0000;
2019-01-01 00:00;2019-07-01 00:00;752,29400;994,48678;-24;;1.221,35;0,6094;
